frame_id	rectstat (12 bits, the left top rectangle is the lowest bit)
0	0	0
0	1	0
0	2	0
0	3	0
0	4	0
0	5	0
0	6	1
0	7	1
0	8	0
0	9	0
0	10	0
0	11	0
2	0	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	1
2	6	1
2	7	1
2	8	0
2	9	0
2	10	0
2	11	0
4	0	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	1
4	6	1
4	7	0
4	8	0
4	9	0
4	10	0
4	11	0
6	0	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	1
6	6	1
6	7	1
6	8	0
6	9	0
6	10	0
6	11	0
8	0	0
8	1	0
8	2	0
8	3	0
8	4	0
8	5	1
8	6	1
8	7	1
8	8	0
8	9	0
8	10	0
8	11	0
10	0	0
10	1	0
10	2	0
10	3	0
10	4	0
10	5	1
10	6	1
10	7	1
10	8	0
10	9	0
10	10	0
10	11	0
12	0	0
12	1	0
12	2	0
12	3	0
12	4	0
12	5	1
12	6	1
12	7	1
12	8	0
12	9	0
12	10	0
12	11	0
14	0	0
14	1	0
14	2	0
14	3	0
14	4	1
14	5	1
14	6	1
14	7	0
14	8	0
14	9	0
14	10	0
14	11	0
16	0	0
16	1	0
16	2	0
16	3	0
16	4	0
16	5	1
16	6	1
16	7	0
16	8	0
16	9	0
16	10	0
16	11	0
18	0	0
18	1	0
18	2	0
18	3	0
18	4	1
18	5	1
18	6	1
18	7	0
18	8	0
18	9	0
18	10	0
18	11	0
20	0	0
20	1	0
20	2	0
20	3	0
20	4	0
20	5	1
20	6	1
20	7	0
20	8	0
20	9	0
20	10	0
20	11	0
22	0	0
22	1	0
22	2	0
22	3	0
22	4	1
22	5	1
22	6	1
22	7	0
22	8	0
22	9	0
22	10	0
22	11	0
24	0	0
24	1	0
24	2	0
24	3	0
24	4	0
24	5	0
24	6	1
24	7	0
24	8	0
24	9	0
24	10	0
24	11	0
26	0	0
26	1	0
26	2	0
26	3	0
26	4	1
26	5	0
26	6	1
26	7	0
26	8	0
26	9	0
26	10	0
26	11	0
28	0	0
28	1	0
28	2	0
28	3	0
28	4	1
28	5	1
28	6	1
28	7	0
28	8	0
28	9	0
28	10	0
28	11	0
30	0	0
30	1	0
30	2	0
30	3	0
30	4	1
30	5	1
30	6	1
30	7	0
30	8	0
30	9	0
30	10	0
30	11	0
32	0	0
32	1	0
32	2	0
32	3	0
32	4	1
32	5	1
32	6	1
32	7	0
32	8	0
32	9	0
32	10	0
32	11	0
34	0	0
34	1	0
34	2	0
34	3	0
34	4	1
34	5	1
34	6	1
34	7	0
34	8	0
34	9	0
34	10	0
34	11	0
36	0	0
36	1	0
36	2	0
36	3	0
36	4	1
36	5	1
36	6	1
36	7	0
36	8	0
36	9	0
36	10	0
36	11	0
38	0	0
38	1	0
38	2	0
38	3	0
38	4	1
38	5	1
38	6	1
38	7	0
38	8	0
38	9	0
38	10	0
38	11	0
40	0	0
40	1	0
40	2	0
40	3	0
40	4	1
40	5	1
40	6	1
40	7	0
40	8	0
40	9	0
40	10	0
40	11	0
42	0	0
42	1	0
42	2	0
42	3	0
42	4	1
42	5	1
42	6	1
42	7	0
42	8	0
42	9	0
42	10	0
42	11	0
44	0	0
44	1	0
44	2	0
44	3	0
44	4	1
44	5	1
44	6	1
44	7	0
44	8	0
44	9	0
44	10	0
44	11	0
46	0	0
46	1	0
46	2	0
46	3	0
46	4	1
46	5	1
46	6	1
46	7	0
46	8	0
46	9	0
46	10	0
46	11	0
48	0	0
48	1	0
48	2	0
48	3	0
48	4	1
48	5	1
48	6	1
48	7	0
48	8	0
48	9	0
48	10	0
48	11	0
50	0	0
50	1	0
50	2	0
50	3	0
50	4	1
50	5	1
50	6	1
50	7	0
50	8	0
50	9	0
50	10	0
50	11	0
52	0	0
52	1	0
52	2	0
52	3	0
52	4	1
52	5	1
52	6	1
52	7	0
52	8	0
52	9	0
52	10	0
52	11	0
54	0	0
54	1	0
54	2	0
54	3	0
54	4	1
54	5	1
54	6	1
54	7	0
54	8	0
54	9	0
54	10	0
54	11	0
56	0	0
56	1	0
56	2	0
56	3	0
56	4	1
56	5	1
56	6	1
56	7	0
56	8	0
56	9	0
56	10	0
56	11	0
58	0	0
58	1	0
58	2	0
58	3	0
58	4	1
58	5	1
58	6	1
58	7	0
58	8	0
58	9	0
58	10	0
58	11	0
60	0	0
60	1	0
60	2	0
60	3	0
60	4	1
60	5	1
60	6	1
60	7	0
60	8	0
60	9	0
60	10	0
60	11	0
62	0	0
62	1	0
62	2	0
62	3	0
62	4	1
62	5	1
62	6	1
62	7	0
62	8	0
62	9	0
62	10	0
62	11	0
64	0	0
64	1	0
64	2	0
64	3	0
64	4	1
64	5	1
64	6	1
64	7	0
64	8	0
64	9	0
64	10	0
64	11	0
66	0	0
66	1	0
66	2	0
66	3	0
66	4	1
66	5	1
66	6	1
66	7	0
66	8	0
66	9	0
66	10	0
66	11	0
68	0	0
68	1	0
68	2	0
68	3	0
68	4	1
68	5	1
68	6	1
68	7	0
68	8	0
68	9	0
68	10	0
68	11	0
70	0	0
70	1	0
70	2	0
70	3	0
70	4	1
70	5	1
70	6	1
70	7	0
70	8	0
70	9	0
70	10	0
70	11	0
72	0	0
72	1	0
72	2	0
72	3	0
72	4	1
72	5	1
72	6	1
72	7	0
72	8	0
72	9	0
72	10	0
72	11	0
74	0	0
74	1	0
74	2	0
74	3	0
74	4	1
74	5	1
74	6	1
74	7	0
74	8	0
74	9	0
74	10	0
74	11	0
76	0	0
76	1	0
76	2	0
76	3	1
76	4	1
76	5	1
76	6	1
76	7	0
76	8	0
76	9	0
76	10	0
76	11	0
78	0	0
78	1	0
78	2	0
78	3	0
78	4	1
78	5	1
78	6	1
78	7	0
78	8	0
78	9	0
78	10	0
78	11	0
80	0	0
80	1	0
80	2	0
80	3	1
80	4	1
80	5	1
80	6	1
80	7	0
80	8	0
80	9	0
80	10	0
80	11	0
82	0	0
82	1	0
82	2	0
82	3	0
82	4	1
82	5	1
82	6	1
82	7	0
82	8	0
82	9	0
82	10	0
82	11	0
84	0	0
84	1	0
84	2	0
84	3	1
84	4	1
84	5	1
84	6	1
84	7	0
84	8	0
84	9	0
84	10	0
84	11	0
86	0	0
86	1	0
86	2	0
86	3	0
86	4	1
86	5	1
86	6	1
86	7	0
86	8	0
86	9	0
86	10	0
86	11	0
88	0	0
88	1	0
88	2	0
88	3	1
88	4	1
88	5	0
88	6	1
88	7	0
88	8	0
88	9	0
88	10	0
88	11	0
90	0	0
90	1	0
90	2	0
90	3	1
90	4	1
90	5	0
90	6	1
90	7	0
90	8	0
90	9	0
90	10	0
90	11	0
92	0	0
92	1	0
92	2	0
92	3	1
92	4	1
92	5	0
92	6	1
92	7	0
92	8	0
92	9	0
92	10	0
92	11	0
94	0	0
94	1	0
94	2	0
94	3	1
94	4	1
94	5	1
94	6	1
94	7	0
94	8	0
94	9	0
94	10	0
94	11	0
96	0	0
96	1	0
96	2	0
96	3	1
96	4	1
96	5	0
96	6	1
96	7	0
96	8	0
96	9	0
96	10	0
96	11	0
98	0	0
98	1	0
98	2	0
98	3	1
98	4	1
98	5	1
98	6	1
98	7	0
98	8	0
98	9	0
98	10	0
98	11	0
100	0	0
100	1	0
100	2	0
100	3	1
100	4	1
100	5	0
100	6	1
100	7	0
100	8	0
100	9	0
100	10	0
100	11	0
102	0	0
102	1	0
102	2	0
102	3	1
102	4	1
102	5	1
